Source,Target,Weight,Sign
0,2,0.33539216379,-1
0,3,0.1665707599,1
0,4,0.26304824788,-1
0,5,0.0619066014,1
0,6,0.20516200355,-1
0,8,0.11604318115,1
0,10,0.29759242896,1
0,11,0.30710855142,1
0,12,0.29086155817,1
0,13,0.18865009399,1
0,14,0.035802823105,1
1,2,0.50983603113,1
1,3,0.033444980372,-1
1,4,0.2853725959,1
1,6,0.035637865218,1
1,7,0.024930207609,1
1,8,0.44275155178,1
1,9,0.058481058354,1
1,10,0.12430287043,1
1,11,0.2526911637,1
1,12,0.14180809554,1
1,13,0.023257945057,1
1,14,0.21477853827,-1
2,3,0.42277148908,1
2,4,0.12903140069,1
2,5,0.36803217357,1
2,6,0.2278057631,-1
2,7,0.31870406315,-1
2,8,0.26966296451,-1
2,9,0.025889567804,1
2,10,0.11445833173,1
2,11,0.048516064486,1
2,12,0.31247203635,1
2,13,0.29773505051,-1
2,14,0.11700063137,-1
3,4,0.86002551742,1
3,7,0.44138606122,-1
3,9,0.026058676745,1
3,11,0.14591290145,-1
3,12,0.093461106516,-1
3,13,0.0030768112539,1
4,5,0.098972515664,1
4,6,0.076275995367,-1
4,7,0.16327596351,-1
4,8,0.22397805687,-1
4,9,0.06790645688,1
4,11,0.17029243412,1
4,12,0.054979410757,-1
4,13,0.1966424733,1
4,14,0.058491030074,1
5,6,0.0025493195673,-1
5,7,0.46827514837,-1
5,10,0.50273042923,-1
5,11,0.11639196978,1
5,12,0.28993705678,1
5,13,0.34081784767,1
5,14,0.0039193378835,-1
6,7,0.73260154821,1
6,8,0.12986208371,-1
6,9,0.01543235762,1
6,10,0.72686454356,1
6,11,0.27656765679,-1
6,12,0.15443670908,-1
6,13,0.83324851502,-1
7,8,0.94255149809,1
7,9,0.60064407694,1
7,10,0.017324211548,1
7,12,0.43033208101,-1
7,13,0.2573880152,1
7,14,0.95241231729,1
8,10,0.50568814035,1
8,11,0.024320575732,-1
8,13,0.37089096926,-1
8,14,0.34793817627,1
9,11,0.24542244965,1
9,13,0.43405001746,1
10,11,1.1216326894,1
10,13,0.33979774116,1
11,12,0.60890832715,1
11,13,0.34417722225,-1
11,14,0.7243162696,1
12,13,0.52335439867,1
12,14,0.071199378618,1
13,14,0.062265716954,1
