Question ID,Question,Parent question,Poll,Answers,Entry name,Entry ID,Region name,Parent answer,start_year,area_sq_km
4856,Is it permissible to worship supernatural beings other than the high god:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4833,The monarch is seen as a manifestation or emanation of the high god:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4858,The supreme high god communicates with the living:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4854,The supreme high god exhibits negative emotion:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4853,The supreme high god exhibits positive emotion:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4835,The supreme high god has another type of loyalty-connection to elites:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4849,The supreme high god has deliberate causal efficacy in the world:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4852,The supreme high god has indirect causal efficacy in the  world:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4838,The supreme high god has knowledge of this world:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
4834,The supreme high god is a kin relation to elites:,A supreme high god is present:,Religious Group (v5),0.0,Roman private religion,231,"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",0.0,-600,89711.57887721254
