Entry ID,Religion Name,Region ID,Date Range,4955,4956,4961,4962,4963,4964,4968,4969,4970,4971,4972,4973,4974,4975,4976,4977,4978,4979,4980,4981,weight,Date,World Region
174,Matthew-James-Didache Movement,352,50CE-160CE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.05555555555555555,0,Southwest Asia
174,Matthew-James-Didache Movement,352,50CE-160CE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.05263157894736842,100,Southwest Asia
178,Ancestral Cult of the Han,104,206BCE-220CE,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,0.16666666666666666,-200,East Asia
178,Ancestral Cult of the Han,104,206BCE-220CE,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,0.25,-100,East Asia
178,Ancestral Cult of the Han,104,206BCE-220CE,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,0.2,0,East Asia
178,Ancestral Cult of the Han,104,206BCE-220CE,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,0.25,100,East Asia
178,Ancestral Cult of the Han,104,206BCE-220CE,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,0.25,200,East Asia
180,Chinese Folk Religion,10,350BCE-200CE,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.25,-300,East Asia
180,Chinese Folk Religion,10,350BCE-200CE,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.16666666666666666,-200,East Asia
180,Chinese Folk Religion,10,350BCE-200CE,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.25,-100,East Asia
180,Chinese Folk Religion,10,350BCE-200CE,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2,0,East Asia
180,Chinese Folk Religion,10,350BCE-200CE,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.25,100,East Asia
180,Chinese Folk Religion,10,350BCE-200CE,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.25,200,East Asia
185,Shinnyo-en,86,1936CE-2013CE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,0.06666666666666667,1900,East Asia
185,Shinnyo-en,86,1936CE-2013CE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,0.09090909090909091,2000,East Asia
189,Israelite Religion,44,1200BCE-400BCE,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,0.16666666666666666,-1200,Southwest Asia
189,Israelite Religion,44,1200BCE-400BCE,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,0.2,-1100,Southwest Asia
189,Israelite Religion,44,1200BCE-400BCE,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,0.16666666666666666,-1000,Southwest Asia
189,Israelite Religion,44,1200BCE-400BCE,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,0.1111111111111111,-900,Southwest Asia
