Entry ID,Date,NGA,World Region
570,1900,Kapuasi Basin,Southeast Asia
570,1900,Middle Yellow River Valley,East Asia
570,1900,Kansai,East Asia
570,1900,Southern China Hills,East Asia
570,2000,Kapuasi Basin,Southeast Asia
570,2000,Middle Yellow River Valley,East Asia
570,2000,Kansai,East Asia
570,2000,Southern China Hills,East Asia
173,0,Konya Plain,Southwest Asia
173,100,Konya Plain,Southwest Asia
176,-100,Galilee,Southwest Asia
176,-0,Galilee,Southwest Asia
177,0,Galilee,Southwest Asia
174,0,Galilee,Southwest Asia
174,100,Galilee,Southwest Asia
23,-1200,Middle Yellow River Valley,East Asia
23,-1100,Middle Yellow River Valley,East Asia
23,-1000,Middle Yellow River Valley,East Asia
178,-200,Middle Yellow River Valley,East Asia
178,-200,Southern China Hills,East Asia
178,-100,Middle Yellow River Valley,East Asia
178,-100,Southern China Hills,East Asia
178,-0,Middle Yellow River Valley,East Asia
178,-0,Southern China Hills,East Asia
178,100,Middle Yellow River Valley,East Asia
178,100,Southern China Hills,East Asia
178,200,Middle Yellow River Valley,East Asia
178,200,Southern China Hills,East Asia
180,-300,Middle Yellow River Valley,East Asia
180,-200,Middle Yellow River Valley,East Asia
180,-100,Middle Yellow River Valley,East Asia
180,-0,Middle Yellow River Valley,East Asia
180,100,Middle Yellow River Valley,East Asia
180,200,Middle Yellow River Valley,East Asia
182,0,Latium,Europe
184,300,Middle Yellow River Valley,East Asia
184,400,Middle Yellow River Valley,East Asia
184,500,Middle Yellow River Valley,East Asia
186,1500,North Colombia,South America
186,1600,North Colombia,South America
185,1900,Kansai,East Asia
185,2000,Kansai,East Asia
187,-1700,Middle Yellow River Valley,East Asia
187,-1600,Middle Yellow River Valley,East Asia
187,-1500,Middle Yellow River Valley,East Asia
187,-1400,Middle Yellow River Valley,East Asia
187,-1300,Middle Yellow River Valley,East Asia
187,-1200,Middle Yellow River Valley,East Asia
187,-1100,Middle Yellow River Valley,East Asia
187,-1000,Middle Yellow River Valley,East Asia
187,-900,Middle Yellow River Valley,East Asia
